iter	Passed	Remaining
872	1405	204
873	1406	202
874	1408	201
875	1409	199
876	1411	197
877	1412	196
878	1414	194
879	1416	193
880	1417	191
881	1419	189
882	1421	188
883	1422	186
884	1423	185
885	1425	183
886	1426	181
887	1428	180
888	1429	178
889	1431	176
890	1432	175
891	1434	173
892	1436	172
893	1438	170
894	1439	168
895	1441	167
896	1443	165
897	1445	164
898	1447	162
899	1448	160
900	1450	159
901	1451	157
902	1453	156
903	1454	154
904	1456	152
905	1457	151
906	1459	149
907	1460	148
908	1462	146
909	1463	144
910	1465	143
911	1467	141
912	1468	139
913	1469	138
914	1471	136
915	1473	135
916	1474	133
917	1476	131
918	1477	130
919	1479	128
920	1481	127
921	1482	125
922	1484	123
923	1485	122
924	1487	120
925	1488	118
926	1490	117
927	1492	115
928	1493	114
929	1494	112
930	1496	110
931	1497	109
932	1499	107
933	1501	106
934	1502	104
935	1504	102
936	1506	101
937	1507	99
938	1508	98
939	1510	96
940	1512	94
941	1513	93
942	1515	91
943	1516	89
944	1518	88
945	1519	86
946	1521	85
947	1522	83
948	1524	81
949	1525	80
950	1527	78
951	1528	77
952	1530	75
953	1532	73
954	1533	72
955	1535	70
956	1536	69
957	1538	67
958	1539	65
959	1541	64
960	1543	62
961	1544	61
962	1546	59
963	1547	57
964	1549	56
965	1551	54
966	1552	52
967	1554	51
968	1555	49
969	1557	48
970	1558	46
971	1560	44
972	1561	43
973	1563	41
974	1564	40
975	1566	38
976	1567	36
977	1569	35
978	1570	33
979	1572	32
980	1574	30
981	1575	28
982	1577	27
983	1578	25
984	1580	24
985	1581	22
986	1583	20
987	1584	19
988	1586	17
989	1587	16
990	1589	14
991	1591	12
992	1592	11
993	1594	9
994	1595	8
995	1597	6
996	1598	4
997	1600	3
998	1601	1
999	1603	0
